Unnamed: 0.1,Unnamed: 0,index,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,rating,floor_Num,total_floors,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,TV,Bed,Microwave,Geyser,Fan,Chimney,Water Purifier,Dining Table,Sofa,Fridge,Modular Kitchen,Stove,Light,Curtains,Exhaust Fan,Wardrobe,AC,Washing Machine,furnishing_type,luxury_score,Safety,Lifestyle,Environment,Connectivity,Management,Amenities,Green_area,Construction
1559,1559,1559,Flat,sector 12,511 sarahah tower,0.6,720.0,8333.0,Carpet area: 720 (66.89 sq.m.),2,2,1,Ground of 4 Floors,New Property,[Environment3.5 out of 5 Lifestyle4.5 out of 5 Connectivity5 out of 5 Safety4 out of 5],0.0,4.0,,720.0,800.0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,4.0,4.5,3.5,5.0,,,,
1560,1560,1560,Flat,sector 65,emaar mgf emerald floors premier,2.3,1650.0,13939.0,Carpet area: 1650 (153.29 sq.m.),3,4,3,3rd   of 5 Floors,Relatively New,[Green Area4.5 out of 5 Construction5 out of 5 Management4.5 out of 5 Amenities4.5 out of 5 Connectivity4 out of 5],3.0,5.0,,1650.0,1833.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,174,,,,4.0,4.5,4.5,4.5,5.0
1561,1561,1561,Flat,sohna road,hcbs sports ville,0.32,519.0,6166.0,Carpet area: 519 (48.22 sq.m.),2,2,2,2nd   of 13 Floors,New Property,[Management4 out of 5 Green Area4 out of 5 Construction4 out of 5 Amenities4 out of 5 Connectivity2 out of 5],2.0,13.0,,519.0,577.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,,,,2.0,4.0,4.0,4.0,4.0
1562,1562,1562,Flat,sector 71,chd avenue,1.12,1802.0,6215.0,Super Built up area 1802(167.41 sq.m.),3,4,3,Ground of 14 Floors,Moderately Old,[Green Area5 out of 5 Construction3 out of 5 Management2 out of 5 Amenities4 out of 5 Connectivity3 out of 5],0.0,14.0,1802.0,,1631.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,,,,3.0,2.0,4.0,5.0,3.0
1563,1563,1563,Flat,sector 62,pioneer araya,8.35,4279.0,19514.0,Super Built up area 4279(397.53 sq.m.),4,6,3,16th   of 34 Floors,Relatively New,[Green Area5 out of 5 Construction4 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity5 out of 5],16.0,34.0,4279.0,,3872.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,5,0,0,153,,,,5.0,4.0,4.0,5.0,4.0
1564,1564,1564,Flat,sector 37c,imperia the esfera,1.1,2035.0,5405.0,Super Built up area 2035(189.06 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,9th   of 24 Floors,Relatively New,[Environment5 out of 5 Lifestyle4 out of 5 Connectivity4 out of 5 Safety4 out of 5],9.0,24.0,2035.0,1760.0,1899.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4.0,4.0,5.0,4.0,,,,
1565,1565,1565,house,sector 25,dlf city plots phase 2,10.5,3618.0,29022.0,Plot area 402(37.35 sq.m.),4,4,2,2.0,Old Property,[Environment5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5 Safety5 out of 5],,,,,,0,1,0,1,0,0,0,0,4,7,1,0,0,0,0,1,0,22,0,1,4,0,0,2,91,5.0,5.0,5.0,5.0,,,,
1566,1566,1566,Flat,sector 79,supertech araville,0.95,1530.0,6209.0,Super Built up area 1530(142.14 sq.m.),2,2,3,7th   of 24 Floors,New Property,[Environment4 out of 5 Safety4 out of 5 Lifestyle3 out of 5 Connectivity4 out of 5],7.0,24.0,1530.0,,1385.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49,4.0,3.0,4.0,4.0,,,,
1567,1567,1567,house,sector 4,independent,2.3,1352.0,17012.0,Plot area 160(133.78 sq.m.),4,4,3,2.0,Old Property,[Environment5 out of 5 Safety5 out of 5 Lifestyle5 out of 5 Connectivity5 out of 5],,,,,,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,1,0,9,1,1,4,0,0,2,15,5.0,5.0,5.0,5.0,,,,
1568,1568,1568,Flat,sector 85,ss the leaf,2.2,3900.0,5641.0,Super Built up area 3950(366.97 sq.m.)Built Up area: 3920 sq.ft. (364.18 sq.m.)Carpet area: 3900 sq.ft. (362.32 sq.m.),4,6,3,10th   of 26 Floors,Relatively New,[Green Area4.5 out of 5 Construction4.5 out of 5 Management4 out of 5 Amenities4 out of 5 Connectivity4.5 out of 5],10.0,26.0,3950.0,3900.0,3920.0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,4,0,0,174,,,,4.5,4.0,4.0,4.5,4.5
